"full_name","e","a","i","om","w","ma","per_y"
"  8201 (1994 AH2)",0.7061,2.539,9.54,164.09,25.13,199.52,4.05
"  8507 (1991 CB1)",0.5944,1.687,14.58,317.41,345.77,9.42,2.19
"  8566 (1996 EN)",0.4302,1.506,37.97,164.12,125.13,90.11,1.85
"  9058 (1992 JB)",0.3596,1.557,16.09,218.30,307.06,284.90,1.94
"  9162 Kwiila (1987 OA)",0.5956,1.497,9.01,179.99,235.83,77.31,1.83
"  9202 (1993 PB)",0.6078,1.424,40.80,315.89,212.36,225.05,1.7
"  9856 (1991 EE)",0.6258,2.242,9.83,168.11,116.18,314.61,3.36
" 10115 (1992 SK)",0.3250,1.249,15.32,8.89,233.69,84.54,1.4
" 10145 (1994 CK1)",0.6326,1.901,4.55,328.38,27.45,348.39,2.62
" 10165 (1995 BL2)",0.5037,1.235,23.90,312.42,348.46,91.71,1.37
" 10563 Izhdubar (1993 WD)",0.2662,1.007,63.47,56.56,132.20,106.82,1.01
" 10636 (1998 QK56)",0.5129,1.884,13.58,172.93,286.31,359.24,2.59
" 11066 Sigurd (1992 CC1)",0.3754,1.392,36.88,349.22,22.03,75.15,1.64
" 11311 Peleus (1993 XN2)",0.5359,2.117,25.49,59.32,313.45,26.51,3.08
" 11405 (1999 CV3)",0.3939,1.46,22.86,141.25,96.40,153.90,1.76
" 11500 Tomaiyowit (1989 UR)",0.3558,1.08,10.31,234.39,289.52,323.61,1.12
" 11885 Summanus (1990 SS)",0.4744,1.703,19.43,359.78,116.20,59.35,2.22
" 12538 (1998 OH)",0.4058,1.542,24.54,220.69,321.79,317.04,1.91
" 12711 Tukmit (1991 BB)",0.2722,1.186,38.49,294.96,322.88,291.28,1.29
" 12923 Zephyr (1999 GK4)",0.4918,1.963,5.30,168.17,147.13,51.56,2.75
" 13651 (1997 BR)",0.3057,1.335,17.25,116.63,133.86,262.62,1.54
" 14827 Hypnos (1986 JK)",0.6649,2.841,1.98,57.93,238.19,21.63,4.79
" 16816 (1997 UF9)",0.6038,1.442,25.92,37.14,158.01,95.46,1.73
" 16834 (1997 WU22)",0.4421,1.468,16.00,260.76,334.39,247.48,1.78
" 16960 (1998 QS52)",0.8590,2.201,17.52,260.15,243.25,308.68,3.26
" 17181 (1999 UM3)",0.6740,2.37,10.65,113.56,36.78,275.92,3.65
" 17182 (1999 VU)",0.5533,1.387,9.26,333.48,203.23,25.70,1.63
" 17188 (1999 WC2)",0.6369,2.216,29.45,269.76,287.25,172.44,3.3
" 17511 (1992 QN)",0.3587,1.19,9.58,355.89,202.44,10.89,1.3
" 20236 (1998 BZ7)",0.5610,2.034,6.51,111.23,104.58,42.72,2.9
" 20425 (1998 VD35)",0.4764,1.565,6.99,227.25,296.32,32.70,1.96
" 20429 (1998 YN1)",0.4642,1.556,6.30,61.73,147.72,42.37,1.94
" 20826 (2000 UV13)",0.6362,2.418,31.92,347.28,198.70,93.36,3.76
" 22099 (2000 EX106)",0.2762,1.104,9.85,136.43,186.56,320.17,1.16
" 22753 (1998 WT)",0.5699,1.219,3.20,307.36,324.80,165.33,1.35
" 22771 (1999 CU3)",0.5243,1.576,11.40,338.91,305.83,256.93,1.98
" 23187 (2000 PN9)",0.5893,1.847,51.33,164.29,293.53,167.50,2.51
" 24443 (2000 OG)",0.8224,2.311,25.74,178.08,231.22,307.38,3.51
" 24445 (2000 PM8)",0.5459,2.211,23.78,203.16,219.08,119.45,3.29
" 24761 Ahau (1993 BW2)",0.3058,1.335,21.92,121.04,287.55,245.98,1.54
" 25143 Itokawa (1998 SF36)",0.2803,1.324,1.62,69.08,162.82,142.57,1.52
" 25330 (1999 KV4)",0.3708,1.541,14.33,50.52,86.10,129.11,1.91
" 26379 (1999 HZ1)",0.5763,1.606,8.68,252.10,200.60,239.86,2.04
" 26663 (2000 XK47)",0.4717,1.546,13.53,303.59,231.23,108.78,1.92
" 27002 (1998 DV9)",0.4333,1.744,8.70,130.34,0.82,203.62,2.3
" 29075 (1950 DA)",0.5077,1.699,12.16,356.59,224.76,223.31,2.21
" 30825 (1990 TG1)",0.6812,2.436,8.74,205.02,33.67,40.46,3.8
" 30997 (1995 UO5)",0.6432,1.56,36.26,38.62,151.17,206.27,1.95
" 31662 (1999 HP11)",0.5479,1.597,18.82,13.94,312.03,158.87,2.02
" 31669 (1999 JT6)",0.5776,2.137,9.54,78.77,39.10,97.39,3.12
" 35107 (1991 VH)",0.1442,1.137,13.91,139.34,206.96,100.55,1.21
" 35396 (1997 XF11)",0.4837,1.442,4.10,213.65,103.04,272.13,1.73
" 35670 (1998 SU27)",0.5964,2.122,7.14,271.33,169.85,130.45,3.09
" 36236 (1999 VV)",0.4238,1.333,58.04,241.07,19.79,200.50,1.54
" 36284 (2000 DM8)",0.5538,1.484,46.76,323.15,317.96,128.39,1.81
" 37638 (1993 VB)",0.5199,1.913,5.08,145.56,323.20,236.56,2.65
" 37655 Illapa (1994 PM)",0.7525,1.478,18.03,139.52,303.90,254.99,1.8
" 38086 Beowulf (1999 JB)",0.5661,1.42,23.67,165.32,178.97,316.82,1.69
" 38239 (1999 OR3)",0.5757,2.036,9.40,199.79,28.50,269.10,2.91
" 40267 (1999 GJ4)",0.8084,1.339,34.48,148.21,211.96,36.46,1.55
