"full_name","e","a","i","om","w","ma","per_y"
"154302 (2002 UQ3)",0.5615,1.72,28.83,222.70,280.97,230.42,2.25
"154330 (2002 VX94)",0.4086,1.477,7.16,320.06,215.23,353.41,1.79
"154347 (2002 XK4)",0.6918,1.85,17.74,331.64,24.99,274.43,2.52
"154453 (2003 CJ11)",0.8354,2.583,20.83,61.70,356.41,94.85,4.15
"154555 (2003 HA)",0.5803,1.184,36.83,53.48,277.14,148.74,1.29
"154590 (2003 MA3)",0.4022,1.105,1.42,152.67,228.88,56.99,1.16
"154631 (2003 WO25)",0.4915,1.557,15.90,357.84,176.09,201.77,1.94
"154652 (2004 EP20)",0.4505,1.058,16.18,159.57,191.35,181.37,1.09
"154656 (2004 FE3)",0.6468,2.31,22.95,339.11,338.24,258.79,3.51
"154658 (2004 FA18)",0.4547,1.097,19.29,29.58,318.65,201.29,1.15
"154715 (2004 LB6)",0.4906,1.619,4.10,182.76,190.63,278.71,2.06
"154807 (2004 PP97)",0.3166,1.484,15.53,15.09,68.69,324.28,1.81
"154988 (2004 XN35)",0.6798,1.506,9.81,132.97,189.99,297.92,1.85
"154993 (2005 EA94)",0.6637,1.517,10.32,104.06,309.03,204.55,1.87
"155110 (2005 TB)",0.3486,1.261,30.38,226.17,44.79,200.28,1.42
"155140 (2005 UD)",0.8726,1.275,28.64,19.69,207.64,106.41,1.44
"155336 (2006 GA1)",0.7377,2.12,4.19,64.34,355.30,45.42,3.09
"155338 (2006 MZ1)",0.4826,1.569,2.08,226.58,138.70,81.14,1.97
"159459 (2000 KB)",0.7989,2.337,56.17,185.36,185.38,277.36,3.57
"159504 (2000 WO67)",0.6172,2.433,9.69,107.57,237.82,138.95,3.8
"159677 (2002 HQ11)",0.5951,1.851,6.06,153.17,322.39,4.51,2.52
"159686 (2002 LB6)",0.6882,1.804,24.73,244.72,141.05,44.01,2.42
"159699 (2002 PQ142)",0.7159,1.697,16.81,151.26,332.19,328.47,2.21
"159857 (2004 LJ1)",0.5935,2.263,23.15,235.54,140.02,319.37,3.4
"159928 (2005 CV69)",0.4196,1.654,27.75,157.45,95.66,35.29,2.13
"161989 Cacus (1978 CA)",0.2139,1.123,26.06,161.21,102.09,338.81,1.19
"162000 (1990 OS)",0.4624,1.678,1.09,346.51,21.59,239.67,2.17
"162039 (1996 JG)",0.6604,1.802,5.28,52.83,280.26,246.30,2.42
"162063 (1997 EH29)",0.6665,1.214,13.01,175.11,198.67,341.47,1.34
"162082 (1998 HL1)",0.1870,1.246,20.05,213.53,148.66,228.22,1.39
"162116 (1998 SA15)",0.5585,1.916,7.11,114.17,331.44,267.66,2.65
"162120 (1998 SH36)",0.5709,1.088,2.13,217.82,278.85,279.53,1.13
"162157 (1999 CV8)",0.3515,1.297,15.27,131.97,279.35,193.17,1.48
"162162 (1999 DB7)",0.1949,1.206,10.84,157.59,29.93,110.33,1.32
"162173 Ryugu (1999 JU3)",0.1911,1.191,5.87,251.29,211.61,327.33,1.3
"162181 (1999 LF6)",0.2805,1.41,18.94,208.50,140.89,1.66,1.67
"162183 (1999 NB5)",0.5351,2.072,1.43,235.31,123.19,143.03,2.98
"162195 (1999 RK45)",0.7730,1.598,5.89,119.99,4.17,118.78,2.02
"162210 (1999 SM5)",0.6950,2.306,5.19,327.62,319.31,82.39,3.5
"162214 (1999 TC10)",0.5860,2.323,19.16,27.67,58.78,5.86,3.54
"162215 (1999 TL12)",0.4365,1.082,17.34,202.31,346.79,281.18,1.12
"162269 (1999 VO6)",0.7378,1.135,40.13,206.83,302.53,173.19,1.21
"162416 (2000 EH26)",0.4780,1.855,0.40,215.25,19.22,243.90,2.53
"162422 (2000 EV70)",0.5311,1.207,1.40,108.93,314.50,240.88,1.33
"162433 (2000 FK10)",0.4815,1.359,13.94,41.66,247.02,126.71,1.58
"162463 (2000 JH5)",0.2382,1.146,22.21,80.17,353.57,111.92,1.23
"162470 (2000 KX43)",0.5530,1.113,35.27,83.74,31.78,343.07,1.17
"162474 (2000 LB16)",0.3574,1.241,50.71,80.85,285.25,163.39,1.38
"162510 (2000 QW69)",0.3023,1.376,38.14,344.33,220.73,91.40,1.61
"162567 (2000 RW37)",0.2501,1.247,13.75,333.29,133.29,12.21,1.39
"162679 (2000 TK1)",0.5716,1.199,29.23,13.01,167.40,329.85,1.31
"162687 (2000 UH1)",0.5436,1.875,14.77,76.13,40.97,92.72,2.57
"162695 (2000 UL11)",0.6354,2.122,2.19,333.18,152.12,246.49,3.09
"162723 (2000 VM2)",0.6814,1.774,6.39,329.79,187.38,2.74,2.36
"162783 (2000 YJ11)",0.2323,1.314,7.26,64.92,339.16,327.02,1.51
"162825 (2001 BO61)",0.7444,1.773,9.07,159.52,79.16,338.79,2.36
"162882 (2001 FD58)",0.5752,1.092,6.50,341.15,46.02,348.46,1.14
"162903 (2001 JV2)",0.2372,1.305,47.49,216.89,301.22,316.60,1.49
"162911 (2001 LL5)",0.3394,1.204,7.95,281.82,205.17,318.98,1.32
"162913 (2001 MT18)",0.5195,1.271,8.65,170.48,356.16,162.97,1.43
"162922 (2001 OY13)",0.3820,1.319,10.30,284.18,291.31,174.17,1.51
"162979 (2001 RA12)",0.5441,2.037,17.09,311.58,326.05,359.93,2.91
"162980 (2001 RR17)",0.4886,1.553,30.40,177.60,351.50,166.80,1.94
"162998 (2001 SK162)",0.4743,1.926,1.68,285.29,186.45,181.51,2.67
"163014 (2001 UA5)",0.4456,1.787,9.94,58.62,27.68,207.87,2.39
"163015 (2001 UX16)",0.3683,1.417,10.62,213.37,254.57,182.55,1.69
"163026 (2001 XR30)",0.3652,1.297,11.86,247.85,294.50,106.07,1.48
"163051 (2001 YJ4)",0.5676,2.274,9.29,247.77,322.44,208.69,3.43
"163067 (2002 AP3)",0.5862,2.046,7.61,87.30,117.82,254.83,2.93
"163081 (2002 AG29)",0.2033,1.087,11.50,212.84,43.95,279.03,1.13
"163132 (2002 CU11)",0.2952,1.22,48.78,157.74,110.53,229.17,1.35
"163191 (2002 EQ9)",0.4653,1.835,16.29,179.09,44.39,10.88,2.49
"163249 (2002 GT)",0.3347,1.344,6.97,201.73,135.14,59.89,1.56
"163295 (2002 HW)",0.6451,2.462,5.81,32.32,77.67,300.57,3.86
"163335 (2002 LJ)",0.6668,1.328,56.32,247.04,155.66,168.87,1.53
"163364 (2002 OD20)",0.3689,1.365,4.19,259.85,275.35,84.09,1.6
"163373 (2002 PZ39)",0.5465,1.469,1.67,328.77,260.13,196.11,1.78
"163454 (2002 RN129)",0.3698,1.162,23.12,332.10,198.67,57.32,1.25
"163679 (2002 XG84)",0.4716,1.495,5.06,29.75,349.74,8.47,1.83
"163683 (2002 YP2)",0.6881,1.577,20.63,52.46,281.41,31.53,1.98
"163692 (2003 CY18)",0.4104,1.526,7.20,114.33,180.95,76.16,1.89
"163696 (2003 EB50)",0.5190,1.571,29.51,65.61,278.96,209.11,1.97
"163697 (2003 EF54)",0.4728,1.609,2.95,268.45,353.79,176.37,2.04
"163732 (2003 KP2)",0.6964,2.752,44.63,193.42,190.66,217.90,4.57
"163758 (2003 OS13)",0.7412,1.296,41.53,272.14,244.28,176.30,1.48
"163818 (2003 RX7)",0.3545,1.229,10.39,241.01,245.91,68.68,1.36
"164120 (2003 YK)",0.4079,1.512,11.03,345.61,189.67,15.97,1.86
"164121 (2003 YT1)",0.2920,1.11,44.06,38.31,91.00,235.13,1.17
"164184 (2004 BF68)",0.4532,1.627,4.60,202.19,2.65,326.82,2.08
"164201 (2004 EC)",0.8602,1.997,34.61,28.83,10.33,122.97,2.82
"164206 (2004 FN18)",0.4096,1.701,18.28,214.42,232.85,171.41,2.22
"164207 (2004 GU9)",0.1359,1.001,13.65,38.41,279.48,63.63,1
"164211 (2004 JA27)",0.4233,1.666,2.26,67.76,270.22,128.89,2.15
"164216 (2004 OT11)",0.5651,2.153,19.99,294.89,326.60,167.15,3.16
"164222 (2004 RN9)",0.2470,1.304,16.11,0.94,67.20,125.04,1.49
"164342 (2005 CP)",0.3610,1.57,19.17,138.89,73.05,328.18,1.97
"164400 (2005 GN59)",0.4679,1.657,6.63,218.96,203.05,169.72,2.13
"168318 (1989 DA)",0.5417,2.162,6.49,349.07,139.82,83.00,3.18
"169352 (2001 UY16)",0.5196,2.083,32.28,32.20,48.41,215.33,3.01
"170013 (2002 UO3)",0.7997,2.946,25.40,184.16,330.17,89.99,5.06
"170086 (2002 XR14)",0.6260,1.905,2.13,75.48,120.49,69.28,2.63
"170502 (2003 WM7)",0.8818,2.47,10.51,48.26,144.17,97.66,3.88
"170903 (2004 WS2)",0.6031,1.336,8.27,87.67,115.46,267.96,1.54
"171486 (1996 MO)",0.5120,1.794,6.09,165.08,4.75,344.71,2.4
"171576 (1999 VP11)",0.5836,1.086,17.28,208.08,61.74,111.24,1.13
"171839 (2001 JM1)",0.3108,1.46,17.08,226.64,321.98,118.84,1.77
"172678 (2003 YM137)",0.7028,2.559,2.82,73.98,131.02,326.04,4.09
"172722 (2004 BV102)",0.6994,1.544,7.22,341.28,17.23,314.19,1.92
"173561 (2000 YV137)",0.3109,1.448,28.00,137.22,211.38,330.30,1.74
"174881 (2004 BU58)",0.5570,1.254,57.23,120.17,171.81,150.58,1.4
"175114 (2004 QQ)",0.6633,2.25,5.72,288.08,31.49,2.16,3.37
"175706 (1996 FG3)",0.3501,1.055,1.97,299.50,24.06,32.72,1.08
"175729 (1998 BB10)",0.4246,1.271,11.54,124.27,259.25,280.61,1.43
"175921 (2000 DM1)",0.4838,1.369,20.70,342.76,306.70,63.57,1.6
"177016 (2003 BM47)",0.5821,1.16,13.81,137.58,155.35,30.01,1.25
"177049 (2003 EE16)",0.6143,1.418,0.65,127.23,259.50,5.13,1.69
"177614 (2004 HK33)",0.5204,1.889,5.44,104.70,221.54,294.36,2.6
"177651 (2004 XM14)",0.6989,1.154,42.40,89.42,186.37,87.01,1.24
"179806 (2002 TD66)",0.5347,1.858,4.93,335.53,125.88,220.46,2.53
"180186 (2003 QZ30)",0.6315,2.422,8.57,178.04,243.10,198.78,3.77
"184266 (2004 VW14)",0.5977,2.121,3.83,100.83,42.78,140.17,3.09
"184990 (2006 KE89)",0.7991,1.053,45.12,88.59,299.23,316.50,1.08
"185851 (2000 DP107)",0.3765,1.365,8.67,358.65,289.77,62.22,1.6
"186822 (2004 FE31)",0.4526,1.574,13.06,200.73,150.36,14.28,1.98
"186823 (2004 FN32)",0.6768,1.205,21.96,190.06,161.15,106.71,1.32
"186844 (2004 GA1)",0.6726,2.43,7.77,261.48,54.63,114.88,3.79
"187040 (2005 JS108)",0.3222,1.355,6.04,110.84,244.00,28.42,1.58
"189008 (1996 FR3)",0.7935,2.168,8.04,27.15,36.73,13.67,3.19
"189040 (2000 MU1)",0.3825,1.372,13.09,130.03,63.78,84.71,1.61
"189173 (2002 XY4)",0.5703,1.844,43.08,268.90,273.74,230.36,2.5
"189630 (2001 LE6)",0.6931,1.206,12.62,290.52,201.56,289.65,1.32
"189865 (2003 NC)",0.8055,1.406,21.57,288.39,224.33,315.33,1.67
"190119 (2004 VA64)",0.8903,2.469,29.86,225.51,20.00,71.20,3.88
"190135 (2005 QE30)",0.6882,2.019,6.22,259.70,217.07,182.99,2.87
"190491 (2000 FJ10)",0.2346,1.319,5.28,189.74,232.38,180.86,1.52
"190788 (2001 RT17)",0.7921,1.268,20.09,349.97,199.65,150.63,1.43
"191094 (2002 EA3)",0.6411,2.115,32.15,349.38,259.41,109.66,3.08
"192559 (1998 VO)",0.2266,1.075,10.06,228.12,75.97,182.11,1.11
"192563 (1998 WZ6)",0.4078,1.452,24.76,68.68,110.75,226.25,1.75
"192642 (1999 RD32)",0.7703,2.641,6.81,309.86,300.10,325.32,4.29
"193178 (2000 PK5)",0.7015,1.934,13.13,227.20,191.83,327.00,2.69
"194006 (2001 SG10)",0.4243,1.449,4.26,184.93,101.62,114.85,1.74
"194268 (2001 UY4)",0.7875,1.453,5.44,160.69,107.81,74.45,1.75
"194386 (2001 VG5)",0.6135,2.301,13.69,248.25,280.40,162.60,3.49
"196068 (2002 TW55)",0.6645,2.118,59.35,33.54,251.12,85.27,3.08
"196625 (2003 RM10)",0.5917,1.848,13.72,341.17,287.44,166.92,2.51
"197588 (2004 HE12)",0.4659,1.845,42.71,338.03,162.22,69.47,2.51
"199145 (2005 YY128)",0.7323,1.649,3.77,299.96,315.17,261.48,2.12
"199801 (2007 AE12)",0.5694,1.684,2.29,245.44,86.98,128.40,2.19
"200754 (2001 WA25)",0.5169,1.756,15.51,279.74,83.79,321.14,2.33
"202411 (2005 RC)",0.7524,2.152,16.26,191.95,40.59,45.46,3.16
"202435 (2005 XH8)",0.6917,1.322,29.09,79.69,159.13,88.38,1.52
"204131 (2003 YL)",0.6323,1.147,5.65,291.92,29.47,47.32,1.23
"204232 (2004 DG2)",0.5634,1.248,17.34,329.24,343.38,184.02,1.39
"205744 (2002 BK25)",0.7490,2.3,11.94,155.03,105.06,162.93,3.49
"206378 (2003 RB)",0.4389,1.788,6.72,317.13,44.07,287.00,2.39
"206910 (2004 NL8)",0.7156,2.574,5.02,150.90,278.14,302.11,4.13
"207398 (2006 AS2)",0.6419,2.091,2.60,125.63,80.07,49.89,3.02
"207945 (1991 JW)",0.1186,1.039,8.71,53.85,301.95,92.10,1.06
"208115 (2000 CT101)",0.3547,1.299,23.30,135.55,292.43,278.65,1.48
"208565 (2002 CT11)",0.5388,1.258,53.85,6.06,24.90,90.30,1.41
"208617 (2002 EB3)",0.6839,1.758,9.92,1.52,300.35,215.88,2.33
"211871 (2004 HO)",0.5109,1.847,7.87,146.11,163.78,14.91,2.51
"212359 (2006 EV52)",0.7073,2.016,15.95,168.48,167.15,70.34,2.86
"213869 (2003 SG170)",0.6029,1.86,36.99,199.25,309.25,52.74,2.54
"214088 (2004 JN13)",0.6902,2.89,13.35,85.03,279.27,13.60,4.91
"214869 (2007 PA8)",0.6530,2.849,2.00,141.30,293.85,175.77,4.81
"215188 (2000 NM)",0.6633,2.686,22.28,273.30,71.42,173.39,4.4
"215588 (2003 HF2)",0.6755,1.114,3.06,189.88,231.04,195.33,1.18
"216115 (2006 SU19)",0.5864,1.527,2.09,152.22,10.63,92.91,1.89
"216258 (2006 WH1)",0.4849,1.671,2.63,240.31,263.68,65.58,2.16
"216985 (2000 QK130)",0.2620,1.181,4.72,173.81,66.40,358.14,1.28
"217390 (2005 CW25)",0.4779,1.626,28.48,148.30,108.96,135.51,2.07
"217430 (2005 SN25)",0.2706,1.23,13.01,168.27,45.20,121.18,1.36
"217628 Lugh (1990 HA)",0.7115,2.527,4.44,177.75,316.15,160.51,4.02
"217837 (2001 LC)",0.6774,1.055,16.97,112.36,2.50,269.26,1.08
"218017 (2001 XV266)",0.1927,1.196,12.00,214.08,265.07,100.23,1.31
"218863 (2006 WO127)",0.5477,2.197,11.03,167.51,314.47,185.41,3.26
"219021 (1991 LH)",0.7332,1.357,53.13,281.03,203.81,146.19,1.58
"219071 (1997 US9)",0.2821,1.053,20.02,212.19,357.40,177.29,1.08
"220124 (2002 TE66)",0.3778,1.457,51.34,191.00,290.55,133.57,1.76
"220839 (2004 VA)",0.5949,1.901,3.69,109.45,43.48,180.72,2.62
"220909 (2005 EO1)",0.7053,2.534,13.87,231.15,40.88,284.10,4.04
"221455 (2006 BC10)",0.6577,2.017,0.92,21.04,234.30,142.51,2.87
"221980 (1996 EO)",0.4008,1.342,21.59,356.46,64.69,213.52,1.55
"222869 (2002 FB6)",0.5447,1.797,33.71,182.66,101.87,108.73,2.41
"224926 (2007 DA41)",0.4400,1.461,30.22,225.90,20.32,299.49,1.77
"225416 (1999 YC)",0.8304,1.422,38.27,64.75,156.45,198.44,1.7
"225586 (2000 WS67)",0.7073,1.299,20.64,73.76,198.37,130.72,1.48
"225900 (2002 AF3)",0.6204,1.905,10.56,353.21,190.40,207.73,2.63
"226514 (2003 UX34)",0.6159,1.095,2.56,4.30,218.58,241.15,1.15
"226554 (2003 WR21)",0.2615,1.118,9.27,85.76,108.11,123.09,1.18
"228368 (2000 WK10)",0.7020,1.479,14.73,57.93,244.51,150.90,1.8
"228502 (2001 TE2)",0.1966,1.083,7.63,171.11,35.79,321.06,1.13
"229007 (2003 XF11)",0.8474,2.196,8.63,115.96,173.96,166.18,3.25
"229672 (2006 WR1)",0.6137,1.333,38.20,105.96,132.13,181.36,1.54
"230089 (2000 WP148)",0.2643,1.319,21.28,251.98,237.95,233.94,1.51
"230420 (2002 PP6)",0.6522,2.327,20.12,135.00,272.94,67.31,3.55
"230549 (2003 BH)",0.3561,1.457,13.11,119.76,313.41,158.58,1.76
"230599 (2003 FJ1)",0.8171,2.17,20.96,128.59,182.08,242.10,3.2
"231134 (2005 TU45)",0.4947,1.975,28.53,119.98,77.12,343.35,2.77
"231937 (2001 FO32)",0.8258,1.699,39.01,181.71,123.36,202.09,2.21
"232691 (2004 AR1)",0.4695,1.576,9.08,336.51,50.31,206.69,1.98
"234061 (1999 HE1)",0.5723,2.362,8.16,65.79,221.95,338.86,3.63
"235700 (2004 TR13)",0.7295,2.017,17.85,12.12,249.98,14.78,2.86
"235756 (2004 VC)",0.2589,1.133,39.15,194.16,94.18,257.83,1.21
"237551 (2000 WQ19)",0.3470,1.406,34.27,38.78,270.73,173.19,1.67
"238063 (2003 EG)",0.7136,1.738,31.79,359.03,326.94,98.05,2.29
"238456 (2004 RK)",0.3004,1.389,18.15,178.76,264.43,36.87,1.64
"239849 (1999 VO11)",0.6336,2.256,15.75,67.45,72.35,109.16,3.39
"241370 (2008 LW8)",0.3936,1.676,17.27,223.10,118.63,174.13,2.17
"242147 (2003 BH84)",0.7196,1.959,23.34,283.20,35.57,77.66,2.74
"242450 (2004 QY2)",0.4772,1.084,37.03,295.27,104.98,234.73,1.13
"242643 (2005 NZ6)",0.8652,1.833,8.41,38.79,48.96,237.52,2.48
"242708 (2005 UK1)",0.6953,2.501,0.79,180.30,345.94,238.37,3.95
"243566 (1995 SA)",0.6420,2.463,19.58,169.02,54.30,255.75,3.87
"244670 (2003 KN18)",0.4856,1.749,11.90,168.66,354.78,145.54,2.31
"244977 (2004 BE68)",0.4446,1.761,15.74,210.88,191.28,343.49,2.34
"247360 (2001 XU)",0.8366,2.573,19.07,260.98,286.06,181.52,4.13
"248590 (2006 CS)",0.6968,2.915,52.30,172.41,346.41,258.82,4.98
"250458 (2004 BO41)",0.4929,1.019,35.55,337.74,254.45,12.44,1.03
"250577 (2005 AC)",0.5178,1.05,46.88,315.76,285.59,83.26,1.08
"250614 (2005 GG)",0.6595,2.042,34.84,106.38,335.28,265.76,2.92
"250620 (2005 GE59)",0.6025,2.109,16.08,194.74,243.02,196.79,3.06
"250697 (2005 QY151)",0.4392,1.381,12.65,14.32,124.96,173.96,1.62
"250706 (2005 RR6)",0.7011,2.957,6.93,27.27,59.96,258.29,5.09
"251346 (2007 SJ)",0.5332,2.015,8.18,306.76,175.25,271.06,2.86
"251722 (1997 US2)",0.6608,1.675,3.17,65.89,100.33,115.60,2.17
"252091 (2000 UP30)",0.7615,2.253,9.37,194.86,118.99,55.04,3.38
"252373 (2001 SA270)",0.7357,1.302,38.52,210.01,15.64,218.25,1.49
"252558 (2001 WT1)",0.3973,1.089,7.16,73.77,180.71,202.70,1.14
"253106 (2002 UR3)",0.7925,1.379,48.65,51.85,141.28,138.36,1.62
"253841 (2003 YG118)",0.6461,2.28,8.03,347.42,233.54,330.41,3.44
"254417 (2004 VV)",0.6044,2.076,52.47,342.74,354.65,252.52,2.99
"255071 (2005 UH6)",0.6325,1.001,2.64,19.29,200.25,53.56,1
"255501 (2006 BG)",0.7320,1.683,4.83,280.88,341.31,168.83,2.18
"257744 (2000 AD205)",0.5861,1.695,7.92,157.17,192.09,122.47,2.21
"259221 (2003 BA21)",0.8331,1.1,23.70,308.86,18.15,18.88,1.15
"260141 (2004 QT24)",0.2519,1.133,17.75,36.10,76.64,130.60,1.21
"263976 (2009 KD5)",0.2615,1.046,13.47,104.49,294.37,26.87,1.07
"264993 (2003 DX10)",0.4108,1.375,3.15,61.75,194.06,95.46,1.61
"265032 (2003 OU)",0.7023,2.304,40.14,206.32,175.51,343.14,3.5
"265187 (2003 YS117)",0.3303,1.249,29.56,300.39,322.08,196.87,1.4
"265196 (2004 BW58)",0.3787,1.455,15.21,132.61,301.85,328.22,1.75
"265482 (2005 EE)",0.3277,1.129,6.17,110.78,284.75,214.47,1.2
"265661 (2005 UB)",0.7382,1.897,27.71,272.08,3.19,118.18,2.61
"267131 (2000 EK26)",0.6573,2.41,15.65,126.39,305.54,240.69,3.74
"267136 (2000 EF104)",0.4178,1.148,10.82,66.34,346.81,87.21,1.23
"267221 (2001 AD2)",0.6598,1.04,1.64,210.54,111.95,235.31,1.06
"267223 (2001 DQ8)",0.9009,1.842,12.77,342.65,14.85,195.31,2.5
"267337 (2001 VK5)",0.5140,1.269,19.43,54.22,263.93,64.72,1.43
"267494 (2002 JB9)",0.7843,2.719,46.76,70.21,278.00,341.38,4.48
"267720 (2003 CA)",0.7196,1.379,21.15,126.17,234.82,185.74,1.62
"267729 (2003 FC5)",0.6087,1.917,5.83,188.76,271.26,64.82,2.65
"267940 (2004 EM20)",0.5240,1.105,14.14,343.76,314.89,183.29,1.16
"269690 (1996 RG3)",0.6037,2.001,3.58,158.05,300.27,297.31,2.83
"271480 (2004 FX31)",0.4420,1.261,24.75,169.13,285.80,230.70,1.42
"274138 (2008 FU6)",0.5690,1.324,12.83,192.82,129.12,259.99,1.52
"275677 (2000 RS11)",0.3205,1.28,17.10,172.16,301.69,146.18,1.45
"275714 (2000 YH4)",0.4586,1.49,17.97,85.55,269.52,72.84,1.82
"275974 (2001 XD)",0.7958,2.045,11.30,63.96,232.73,318.64,2.93
"275975 (2001 XF1)",0.4637,1.479,22.03,87.77,231.59,313.55,1.8
"275976 (2001 XV10)",0.5854,2.205,22.35,31.38,342.07,27.14,3.27
"276033 (2002 AJ129)",0.9149,1.37,15.44,138.01,211.04,85.46,1.6
"276049 (2002 CE26)",0.5612,2.233,47.29,161.87,228.07,358.03,3.34
"276409 (2002 YN2)",0.5872,1.243,50.26,290.68,38.47,322.91,1.39
"276703 (2004 BL11)",0.7498,1.26,9.81,142.42,176.95,334.14,1.41
"276732 (2004 EV9)",0.7809,1.471,40.82,172.40,226.73,234.17,1.78
"276891 (2004 RH340)",0.3813,1.295,26.11,51.54,335.44,238.83,1.47
"277039 (2005 CF41)",0.5859,1.649,15.87,132.18,208.77,238.17,2.12
"277142 (2005 LG8)",0.8274,1.755,26.57,211.30,193.82,59.78,2.33
"277475 (2005 WK4)",0.2374,1.011,9.84,138.11,74.13,83.30,1.02
"277570 (2005 YP180)",0.6170,1.372,4.11,288.91,92.47,276.63,1.61
"277616 (2006 BN6)",0.6943,2.577,18.75,249.38,338.86,185.67,4.14
"277617 (2006 BT7)",0.6333,1.522,16.17,298.55,342.56,229.01,1.88
"277810 (2006 FV35)",0.3774,1.001,7.10,179.47,170.78,43.25,1
"277958 (2006 SP134)",0.7365,2.049,13.04,16.64,192.31,150.40,2.93
"278327 (2007 HA59)",0.7257,2.514,54.49,57.10,17.64,229.99,3.99
"278381 (2007 MR)",0.2588,1.023,5.83,172.75,217.67,170.81,1.03
"279744 (1998 KM3)",0.6108,1.67,4.66,263.02,85.36,37.82,2.16
"279816 (2000 JE5)",0.4006,1.238,50.74,41.23,285.16,202.01,1.38
"280136 (2002 OM4)",0.5632,1.496,55.30,143.04,28.15,129.77,1.83
"280491 (2004 MO7)",0.4840,1.105,24.08,38.51,61.42,245.19,1.16
"281070 (2006 OY10)",0.5744,1.806,35.63,233.99,92.44,155.85,2.43
"281365 (2008 CM116)",0.6632,1.63,18.71,0.11,355.82,126.12,2.08
"284422 (2006 YD)",0.6939,2.622,7.74,223.37,352.07,51.28,4.25
"285179 (1996 TY11)",0.5354,1.228,13.93,30.61,158.79,85.52,1.36
"285331 (1999 FN53)",0.4563,1.735,20.17,50.57,191.73,40.74,2.29
"285339 (1999 JR6)",0.6755,1.367,20.32,52.61,27.29,54.33,1.6
"285540 (2000 GU127)",0.7266,2.105,8.49,171.94,138.85,343.26,3.05
"285567 (2000 OM)",0.6401,1.701,13.57,123.33,74.19,4.25,2.22
"285638 (2000 SO10)",0.5404,1.3,36.95,356.41,204.05,219.86,1.48
"285990 (2001 SK9)",0.7894,1.786,25.84,195.54,34.80,284.70,2.39
"286080 (2001 TX1)",0.4825,1.047,2.80,159.14,354.18,86.91,1.07
"288807 (2004 RW164)",0.3766,1.49,36.78,164.93,342.88,246.85,1.82
"289315 (2005 AN26)",0.6379,2.32,4.92,175.79,208.49,238.91,3.53
"290772 (2005 VC)",0.5929,2.085,4.49,227.79,290.38,27.83,3.01
"292165 (2006 SC6)",0.5805,1.203,30.26,152.97,355.57,149.84,1.32
"292220 (2006 SU49)",0.3117,1.412,2.52,303.06,199.10,153.84,1.68
"293054 (2006 WP127)",0.7674,2.53,6.08,178.24,23.00,122.31,4.03
"293726 (2007 RQ17)",0.3693,1.578,2.01,350.47,302.28,243.58,1.98
"294739 (2008 CM)",0.4080,1.566,36.01,279.54,130.69,196.87,1.96
"296318 (2009 EN2)",0.5244,1.659,47.36,144.81,138.11,80.54,2.14
"297274 (1996 SK)",0.7905,2.445,1.97,195.51,286.33,113.57,3.82
"297300 (1998 SC15)",0.4144,1.273,16.08,198.68,277.49,337.60,1.44
"299582 (2006 GQ2)",0.4659,1.29,25.83,13.88,64.55,284.29,1.47
"301011 (2008 JO)",0.5455,1.509,5.37,276.83,194.84,348.83,1.85
"301844 (1990 UA)",0.5260,1.642,0.93,104.28,202.58,87.51,2.1
"302010 (2000 SH8)",0.4895,1.688,56.38,1.85,86.23,314.01,2.19
"302156 (2001 SF286)",0.6456,1.268,29.51,231.96,19.03,100.23,1.43
"302311 (2002 AA)",0.3022,1.148,11.28,302.16,64.66,249.61,1.23
"302830 (2003 FB)",0.4423,1.473,16.97,38.62,46.22,64.80,1.79
"302831 (2003 FH)",0.5406,1.389,25.80,24.12,274.37,5.07,1.64
"303248 (2004 QV16)",0.5742,1.769,28.49,196.15,49.35,225.45,2.35
"303262 (2004 RJ84)",0.3106,1.095,13.23,342.92,189.81,38.29,1.15
"303449 (2005 BE2)",0.6279,2.015,6.60,92.50,162.58,263.93,2.86
"303450 (2005 BY2)",0.3306,1.269,7.29,74.44,130.28,240.46,1.43
"303933 (2005 VQ)",0.4889,1.126,19.13,54.41,184.24,93.63,1.19
"304293 (2006 SQ78)",0.3392,1.172,36.06,208.10,33.02,192.18,1.27
"304330 (2006 SX217)",0.3103,1.412,21.04,32.60,176.24,92.72,1.68
"304640 (2006 WW1)",0.5044,1.418,9.41,240.31,322.66,136.47,1.69
"306367 Nut (5025 P-L)",0.7406,2.539,3.76,346.24,152.81,12.25,4.04
"307005 (2001 XP1)",0.7528,2.89,39.21,268.07,246.31,215.45,4.91
"307070 (2002 AV31)",0.2492,1.309,14.98,119.26,267.48,126.87,1.5
"307493 (2002 XP90)",0.5861,2.079,23.12,78.55,324.19,116.65,3
"308041 (2004 TN)",0.4356,1.428,14.05,17.11,160.01,134.63,1.71
"308043 (2004 TH10)",0.8287,1.25,14.29,271.20,266.78,36.99,1.4
"308635 (2005 YU55)",0.4305,1.157,0.34,35.93,273.56,189.35,1.24
"310560 (2001 QL142)",0.4991,1.049,26.60,165.55,72.15,267.48,1.08
"311044 (2004 BB103)",0.6220,1.908,55.86,271.07,71.49,332.19,2.63
"311066 (2004 DC)",0.3996,1.634,19.46,74.90,156.37,296.12,2.09
"311555 (2006 BA148)",0.6142,1.631,15.76,327.57,26.10,89.11,2.08
"312942 (1995 EK1)",0.7769,2.262,9.07,352.56,299.85,224.10,3.4
